,0
0,118738.4316615657
1,156464.64379105522
2,185546.88623495726
3,196103.7262729579
4,197401.18493268648
5,170621.8795616693
6,174560.513661288
7,163208.2296683943
8,187176.0137429544
9,122461.9228707424
10,199109.57443468334
11,94974.35872091759
12,93888.14736514211
13,145162.79523313182
14,111018.20679524561
15,370086.8604905474
16,255792.8511020736
17,282999.6117892613
18,286081.423125917
19,463766.60544310627
20,322824.514420456
21,214382.07978355786
22,181082.83381932537
23,163137.31589034887
24,186694.29445832947
25,197637.04768012752
26,328713.56703325285
27,227152.14422068183
28,201720.4399842967
29,242229.75876958686
30,195228.98687802185
31,90939.34033084044
32,180774.40586034744
33,294421.2220805597
34,289556.566491749
35,242187.65329087936
36,180452.18917167027
37,166608.15615844412
38,161818.72594586297
39,156231.67780133468
40,174621.8838630307
41,147104.63931514014
42,293302.7846202107
43,243106.2108564799
44,227553.75872910814
45,187772.47629788963
46,252897.9440862909
47,199285.7382990445
48,159300.03416008313
49,145150.5039013011
50,153594.06559771547
51,177456.18016113385
52,144857.02272200343
53,161057.40558744041
54,195834.30658810597
55,152803.37682373717
56,165189.43395434177
57,130745.47830393503
58,214232.46948597798
59,130336.90163444981
60,135221.55249484503
61,177699.025297074
62,112040.71961901308
63,124789.20893881941
64,121187.388153163
65,112655.99821336193
66,101963.64006795033
67,137969.8852191302
68,148508.23030085693
69,178450.63517035558
70,103917.07781775578
71,97909.7102850493
72,151211.38527409884
73,128852.47115345686
74,149650.66931952833
75,107967.76009814817
76,57655.87880453453
77,150316.73762739872
78,191031.33063323257
79,93803.82869933067
80,139817.25927559796
81,146608.0186023454
82,200212.58974014028
83,84242.32932594512
84,116051.23413582782
85,133362.40994745426
86,135469.5981495628
87,140862.74315061103
88,117610.18017448363
89,135539.51154950162
90,110906.38443653325
91,139213.04054342615
92,155322.70821574127
93,116291.20449305382
94,162786.1041273423
95,85722.8332526022
96,105701.16935329922
97,102926.11794529216
98,63983.69449272117
99,132024.68090414975
100,127206.82317665158
101,128197.70544662594
102,120004.70810067125
103,162110.95459710265
104,146896.83082318126
105,238967.6860570002
106,75648.12403664435
107,234812.04468374272
108,129962.46792993577
109,133762.8493875322
110,120525.57253669543
111,147982.78874150943
112,241713.91127991106
113,114641.48495873586
114,226049.09268331563
115,245077.28191002665
116,186062.1184119599
117,147412.06286351327
118,147416.8020047922
119,193273.28120136596
120,154315.3831856624
121,124105.37977369169
122,306738.8034583171
123,217420.67633804242
124,137949.08485001026
125,65185.44050466156
126,100426.75677332147
127,152953.40717079214
128,98401.69624131848
129,134367.4115069186
130,92700.3881554921
131,120761.13568079688
132,125452.97318818663
133,132958.01901063384
134,100663.62937647918
135,230643.68558516278
136,187688.83411091
137,217841.64010894834
138,164823.21972918362
139,161341.0551564461
140,68355.5681357409
141,115139.362272903
142,79748.52442588109
143,257351.79256652354
144,238502.03241070395
145,170226.68746788934
146,171485.11066301446
147,220832.4644748965
148,185290.0799312849
149,150576.01991650896
150,138191.00831533025
151,172081.9200796865
152,164020.6546148017
153,123298.92987809078
154,91122.3503939294
155,74973.91759426676
156,91400.74446124227
157,123149.63120355085
158,141341.42021172115
159,146935.7107406895
160,140709.67992952478
161,139767.74829489866
162,263280.1112411612
163,212280.82123759395
164,119175.81334814402
165,169026.6164836523
166,192202.9041769759
167,277567.59993235726
168,178059.31961868348
169,368998.0060661802
170,228463.23901103443
171,241603.2677406973
172,169212.65704138938
173,187302.238230531
174,175599.93467179956
175,152667.80927254632
176,205539.9382535079
177,181882.66350014912
178,184701.86804354948
179,258357.62614423697
180,177854.0324649536
181,231814.84009419757
182,217635.830289127
183,238409.72112017305
184,202663.50098386104
185,158958.985328077
186,155994.4830449251
187,131069.61333255982
188,140429.22666599322
189,113421.08582592332
190,120847.58830461811
191,96693.49313483422
192,99642.27383964702
193,145110.333100737
194,136392.57652438772
195,139727.2514560505
196,147254.05263357886
197,145307.77567454934
198,114202.10822816571
199,150638.64184548057
200,433380.780228778
201,391163.66070284584
202,363265.2347011626
203,493706.5921310508
204,299455.3399372338
205,324256.72034981777
206,383173.11525000125
207,335307.3284903343
208,306487.33815387025
209,330546.84883649973
210,262933.4631008095
211,418798.5378943974
212,299812.7031706338
213,246630.43750014054
214,201237.4675570962
215,198290.44638846026
216,226460.26931841095
217,461839.0543924272
218,384997.0345424619
219,324678.20440065226
220,240765.3084347703
221,304692.7671889543
222,185686.49958385798
223,173656.2350027429
224,173899.42693932645
225,169107.39657932494
226,170533.03489326063
227,190972.59510585864
228,195429.68765622054
229,194098.69738790218
230,184329.85737016826
231,258951.30318969834
232,167127.9297572107
233,181325.17868274014
234,160749.1750723973
235,273077.4342539322
236,164379.5057759787
237,356215.44526399253
238,315328.88806696597
239,250641.70502503158
240,270707.9453909484
241,242417.9377661885
242,243977.45086740344
243,273372.9884847812
244,237230.5020665645
245,412822.8163444799
246,217971.64117201636
247,205365.29516235713
